Model,Tool,CardP,CardT,CardA,PTime,TTime,ConstP,NBP,NBT,TotalTime,Time,Mem,Status
MultiCrashLeafsetExtension-PT-S24C05,itstools,11106,16561,65150,720,88,0,975,5830,1576,2017,02,OK
MultiCrashLeafsetExtension-PT-S24C06,itstools,12464,18463,71462,887,127,0,1029,6428,1877,2051,02,OK
MultiCrashLeafsetExtension-PT-S24C07,itstools,13822,20365,77774,1115,112,0,1083,7026,2077,2067,02,OK
MultiCrashLeafsetExtension-PT-S24C08,itstools,15180,22267,84086,1356,130,0,1137,7624,2328,2095,02,OK
MultiCrashLeafsetExtension-PT-S24C09,itstools,16538,24169,90398,1589,152,0,1191,8222,2654,3027,03,OK
MultiCrashLeafsetExtension-PT-S24C10,itstools,17896,26071,96710,2074,161,0,1245,8820,3198,3079,03,OK
MultiCrashLeafsetExtension-PT-S24C11,itstools,19254,27973,103022,2108,148,0,1299,9418,3213,3081,03,OK
MultiCrashLeafsetExtension-PT-S24C12,itstools,20612,29875,109334,2452,159,0,1353,10016,3684,4031,04,OK
MultiCrashLeafsetExtension-PT-S32C02,itstools,13544,21807,93598,1050,108,0,1333,8540,2025,2063,02,OK
MultiCrashLeafsetExtension-PT-S32C03,itstools,15862,25109,104566,1432,158,0,1403,9594,2551,3015,03,OK
MultiCrashLeafsetExtension-PT-S32C04,itstools,18180,28411,115534,1968,149,0,1473,10648,3080,3068,03,OK
MultiCrashLeafsetExtension-PT-S32C05,itstools,20498,31713,126502,3022,192,0,1543,11702,4279,4093,04,OK
MultiCrashLeafsetExtension-PT-S32C06,itstools,22816,35015,137470,3793,216,0,1613,12756,5289,5096,05,OK
MultiCrashLeafsetExtension-PT-S32C07,itstools,25134,38317,148438,4657,263,0,1683,13810,6203,6084,06,OK
MultiCrashLeafsetExtension-PT-S32C08,itstools,27452,41619,159406,7165,297,0,1753,14864,8843,9051,09,OK
MultiCrashLeafsetExtension-PT-S32C09,itstools,29770,44921,170374,7837,307,0,1823,15918,9491,10015,10,OK
MultiCrashLeafsetExtension-PT-S32C10,itstools,32088,48223,181342,7597,287,0,1893,16972,9357,10005,10,OK
MultiCrashLeafsetExtension-PT-S32C11,itstools,34406,51525,192310,10306,362,0,1963,18026,12203,12085,12,OK
MultiCrashLeafsetExtension-PT-S32C12,itstools,36724,54827,203278,12507,362,0,2033,19080,14564,15018,15,OK
MultiwaySync-PT-none,itstools,222,472,1496,12,10,0,25,187,191,85,00,OK
NeighborGrid-PT-d2n3m1c12,itstools,9,40,80,6,6,0,1,32,117,75,00,OK
NeighborGrid-PT-d2n3m1t12,itstools,9,72,144,6,6,0,1,64,120,72,00,OK
NeighborGrid-PT-d3n3m1t11,itstools,27,162,324,7,8,0,1,136,134,71,00,OK
NeighborGrid-PT-d4n3m2c23,itstools,81,1632,3264,22,34,0,1,1552,282,89,00,OK
NeighborGrid-PT-d5n4m1t35,itstools,1024,196608,393216,2325,3206,0,1,195585,7962,8060,08,OK
NeoElection-COL-2,itstools,438,295,1570,4,4,3,9,0,454,99,00,OK
NeoElection-COL-3,itstools,972,848,4688,5,7,4,20,7,505,1009,01,OK
NeoElection-COL-4,itstools,1830,1984,11141,8,11,5,35,31,503,1008,01,OK
NeoElection-COL-5,itstools,3090,4024,22762,12,12,6,54,81,596,1017,01,OK
NeoElection-COL-6,itstools,4830,7361,41792,13,9,7,77,166,656,1023,01,OK
NeoElection-COL-7,itstools,7128,12460,70880,16,17,8,104,295,714,1029,01,OK
NeoElection-COL-8,itstools,10062,19858,113083,26,33,9,135,477,834,1045,01,OK
NeoElection-PT-2,itstools,438,357,1998,5,5,5,9,0,185,74,00,OK
NeoElection-PT-3,itstools,972,1016,5840,5,8,7,20,7,233,77,00,OK
NeoElection-PT-4,itstools,1830,2340,13565,10,9,9,35,31,310,88,00,OK
NeoElection-PT-5,itstools,3090,4674,27162,12,12,11,54,81,456,1001,01,OK
NeoElection-PT-6,itstools,4830,8435,49028,14,12,13,77,166,557,1013,01,OK
NeoElection-PT-7,itstools,7128,14112,81968,14,28,15,104,295,641,1024,01,OK
NeoElection-PT-8,itstools,10062,22266,129195,16,21,17,135,477,855,1043,01,OK
NoC3x3-PT-1A,itstools,165,355,1069,7,9,0,40,88,167,70,00,OK
NoC3x3-PT-1B,itstools,1416,1640,3639,15,29,0,40,264,293,90,00,OK
NoC3x3-PT-2A,itstools,361,428,1697,13,7,0,127,143,190,72,00,OK
NoC3x3-PT-2B,itstools,2003,2292,5835,20,32,0,66,355,296,86,00,OK
NoC3x3-PT-3A,itstools,370,450,1773,20,12,0,127,151,203,80,00,OK
NoC3x3-PT-3B,itstools,2117,2435,6177,23,54,0,66,384,345,92,00,OK
NoC3x3-PT-4A,itstools,293,608,1905,9,8,0,66,154,186,79,00,OK
NoC3x3-PT-4B,itstools,2328,2701,6091,34,33,0,66,439,365,95,00,OK
NoC3x3-PT-5A,itstools,417,933,3585,12,28,0,66,500,236,81,00,OK
NoC3x3-PT-5B,itstools,1571,2173,6109,25,49,0,66,668,322,92,00,OK
NoC3x3-PT-6A,itstools,512,1117,4279,15,72,0,66,629,305,87,00,OK
NoC3x3-PT-6B,itstools,1544,2229,6663,23,57,0,66,751,345,91,00,OK
NoC3x3-PT-7A,itstools,801,1544,4519,28,33,0,111,665,263,88,00,OK
NoC3x3-PT-7B,itstools,7014,8833,19619,55,186,0,66,1885,786,1040,01,OK
NoC3x3-PT-8A,itstools,317,4293,9691,17,15,0,66,315,309,90,00,OK
NoC3x3-PT-8B,itstools,9140,14577,30726,199,172,0,99,5536,1087,1069,01,OK
NQueens-PT-05,itstools,55,25,125,5,4,2,28,0,120,70,00,OK
NQueens-PT-08,itstools,112,64,320,7,5,2,46,0,134,75,00,OK
NQueens-PT-10,itstools,160,100,500,8,5,2,58,0,158,74,00,OK
NQueens-PT-12,itstools,216,144,720,9,6,2,70,0,158,73,00,OK
NQueens-PT-15,itstools,315,225,1125,12,6,2,88,0,192,76,00,OK
NQueens-PT-20,itstools,520,400,2000,17,7,2,118,0,229,83,00,OK
NQueens-PT-25,itstools,775,625,3125,21,10,2,148,0,257,82,00,OK
NQueens-PT-30,itstools,1080,900,4500,21,8,2,178,0,230,83,00,OK
PaceMaker-PT-none,itstools,70,164,954,6,9,0,35,123,178,73,00,OK
ParamProductionCell-PT-0,itstools,198,176,730,9,6,0,49,27,162,71,00,OK
ParamProductionCell-PT-1,itstools,231,202,846,12,8,0,59,30,193,79,00,OK
ParamProductionCell-PT-2,itstools,231,202,846,10,8,0,59,30,197,76,00,OK
ParamProductionCell-PT-3,itstools,231,202,846,10,7,0,59,30,190,74,00,OK
ParamProductionCell-PT-4,itstools,231,202,846,10,8,0,59,30,171,77,00,OK
ParamProductionCell-PT-5,itstools,231,202,846,10,6,0,59,30,179,72,00,OK
Parking-PT-104,itstools,65,97,284,5,6,0,16,7,128,70,00,OK
Parking-PT-208,itstools,137,201,593,7,5,0,34,14,148,70,00,OK
Parking-PT-416,itstools,305,433,1289,9,6,0,76,28,170,74,00,OK
Parking-PT-432,itstools,529,785,2329,16,7,0,124,52,197,78,00,OK
Parking-PT-832,itstools,737,993,2993,17,10,0,184,56,241,83,00,OK
Parking-PT-864,itstools,1185,1697,5073,29,16,0,280,104,291,87,00,OK
PermAdmissibility-COL-01,itstools,40,16,83,6,5,0,24,0,436,1002,01,OK
PermAdmissibility-COL-02,itstools,40,16,83,6,6,0,24,0,408,98,00,OK
PermAdmissibility-COL-05,itstools,40,16,83,6,5,0,24,0,431,1000,01,OK
PermAdmissibility-COL-10,itstools,40,16,83,5,5,0,24,0,393,98,00,OK
PermAdmissibility-COL-20,itstools,40,16,83,5,4,0,24,0,415,99,00,OK
PermAdmissibility-COL-50,itstools,40,16,83,6,5,0,24,0,439,1002,01,OK
PermAdmissibility-PT-01,itstools,168,592,3456,21,27,0,32,456,250,82,00,OK
PermAdmissibility-PT-02,itstools,168,592,3456,21,23,0,32,456,237,80,00,OK
PermAdmissibility-PT-05,itstools,168,592,3456,28,36,0,32,456,254,85,00,OK
PermAdmissibility-PT-10,itstools,168,592,3456,21,25,0,32,456,260,85,00,OK
PermAdmissibility-PT-20,itstools,168,592,3456,30,37,0,32,456,261,83,00,OK
PermAdmissibility-PT-50,itstools,168,592,3456,25,35,0,32,456,265,86,00,OK
Peterson-COL-2,itstools,108,138,432,7,6,6,11,29,391,96,00,OK
Peterson-COL-3,itstools,256,356,1112,11,10,12,15,79,434,99,00,OK
Peterson-COL-4,itstools,500,730,2280,12,13,20,19,169,460,1006,01,OK
Peterson-COL-5,itstools,864,1302,4068,15,17,30,23,311,478,1004,01,OK
Peterson-COL-6,itstools,1372,2114,6608,22,58,42,27,517,552,1015,01,OK
Peterson-COL-7,itstools,2048,3208,10032,37,42,56,31,799,553,1014,01,OK
Peterson-PT-2,itstools,102,126,384,7,8,0,11,29,148,73,00,OK
Peterson-PT-3,itstools,244,332,1016,10,10,0,15,79,175,72,00,OK
Peterson-PT-4,itstools,480,690,2120,16,13,0,19,169,218,79,00,OK
Peterson-PT-5,itstools,834,1242,3828,21,19,0,23,311,277,85,00,OK
Peterson-PT-6,itstools,1330,2030,6272,31,38,0,27,517,349,94,00,OK
Peterson-PT-7,itstools,1992,3096,9584,31,61,0,31,799,360,98,00,OK
PhaseVariation-PT-D02CS010,itstools,14,65,443,4,5,0,5,0,134,76,00,OK
PhaseVariation-PT-D02CS100,itstools,14,65,443,5,4,0,5,0,128,70,00,OK
PhaseVariation-PT-D05CS010,itstools,77,677,4685,8,7,1,25,0,226,82,00,OK
PhaseVariation-PT-D05CS100,itstools,77,677,4685,5,7,0,26,0,208,80,00,OK
PhaseVariation-PT-D10CS010,itstools,302,3137,21755,8,6,1,100,0,323,89,00,OK
PhaseVariation-PT-D10CS100,itstools,302,3137,21755,12,7,0,101,0,389,1000,01,OK
PhaseVariation-PT-D20CS010,itstools,1202,13457,93395,34,10,1,400,0,718,1032,01,OK
PhaseVariation-PT-D20CS100,itstools,1202,13457,93395,31,11,1,400,0,724,1032,01,OK
PhaseVariation-PT-D30CS010,itstools,2702,30977,215035,106,11,1,900,0,1210,1076,01,OK
PhaseVariation-PT-D30CS100,itstools,2702,30977,215035,63,11,1,900,0,1135,1072,01,OK
Philosophers-COL-000005,itstools,25,25,80,4,4,0,10,10,346,93,00,OK
Philosophers-COL-000010,itstools,50,50,160,5,4,0,20,20,348,91,00,OK
Philosophers-COL-000020,itstools,100,100,320,6,7,0,40,40,358,96,00,OK
Philosophers-COL-000050,itstools,250,250,800,8,7,0,100,100,391,99,00,OK
Philosophers-COL-000100,itstools,500,500,1600,11,9,0,200,200,401,1002,01,OK
Philosophers-COL-000200,itstools,1000,1000,3200,21,8,0,400,400,432,1004,01,OK
Philosophers-COL-000500,itstools,2500,2500,8000,23,16,0,1000,1000,460,1005,01,OK
Philosophers-COL-001000,itstools,5000,5000,16000,47,21,0,2000,2000,590,1016,01,OK
Philosophers-COL-002000,itstools,10000,10000,32000,58,45,0,4000,4000,720,1028,01,OK
Philosophers-COL-005000,itstools,25000,25000,80000,173,91,0,10000,10000,1056,1063,01,OK
Philosophers-COL-010000,itstools,50000,50000,160000,220,133,0,20000,20000,1400,1097,01,OK
Philosophers-COL-050000,itstools,250000,250000,800000,973,761,0,100000,100000,4270,4095,04,OK
Philosophers-COL-100000,itstools,500000,500000,1600000,2005,2002,0,200000,200000,8131,8088,08,OK
Philosophers-PT-000005,itstools,25,25,80,5,5,0,10,10,110,66,00,OK
Philosophers-PT-000010,itstools,50,50,160,5,4,0,20,20,116,67,00,OK
Philosophers-PT-000020,itstools,100,100,320,7,6,0,40,40,130,69,00,OK
Philosophers-PT-000050,itstools,250,250,800,9,8,0,100,100,175,75,00,OK
Philosophers-PT-000100,itstools,500,500,1600,14,6,0,200,200,204,77,00,OK
Philosophers-PT-000200,itstools,1000,1000,3200,15,16,0,400,400,244,79,00,OK
Philosophers-PT-000500,itstools,2500,2500,8000,20,14,0,1000,1000,318,88,00,OK
Philosophers-PT-001000,itstools,5000,5000,16000,56,32,0,2000,2000,502,1008,01,OK
Philosophers-PT-002000,itstools,10000,10000,32000,71,70,0,4000,4000,755,1035,01,OK
Philosophers-PT-005000,itstools,25000,25000,80000,114,79,0,10000,10000,1006,1058,01,OK
Philosophers-PT-010000,itstools,50000,50000,160000,183,176,0,20000,20000,1572,2015,02,OK
PhilosophersDyn-COL-03,itstools,30,84,564,6,7,0,11,38,396,97,00,OK
PhilosophersDyn-COL-10,itstools,170,2310,18190,39,46,0,39,1774,500,1008,01,OK
PhilosophersDyn-COL-20,itstools,540,17220,140780,695,518,0,79,15049,1955,2053,02,OK
PhilosophersDyn-COL-50,itstools,2850,257550,2154950,-1,-1,0,0,0,120000,-1,-1,TO
PhilosophersDyn-COL-80,itstools,6960,1043280,8780720,-1,-1,0,0,0,120000,-1,-1,TO
PhilosophersDyn-PT-03,itstools,30,84,564,5,7,0,11,38,141,70,00,OK
PhilosophersDyn-PT-10,itstools,170,2310,18190,46,59,0,39,1774,387,96,00,OK
PhilosophersDyn-PT-20,itstools,540,17220,140780,896,776,0,79,15049,2616,3022,03,OK
Planning-PT-none,itstools,126,128,652,7,6,2,42,30,145,72,00,OK
PolyORBLF-COL-S02J04T06,itstools,476,920,4242,31,62,0,46,382,635,1022,01,OK
PolyORBLF-COL-S02J04T08,itstools,614,1242,5732,64,73,0,50,534,697,1026,01,OK
PolyORBLF-COL-S02J04T10,itstools,752,1572,7262,88,111,0,54,694,790,1039,01,OK
PolyORBLF-COL-S02J06T06,itstools,536,1064,4866,30,77,0,50,470,650,1023,01,OK
PolyORBLF-COL-S02J06T08,itstools,690,1434,6564,48,73,0,54,654,724,1034,01,OK
PolyORBLF-COL-S02J06T10,itstools,844,1812,8302,110,86,0,58,846,788,1036,01,OK
PolyORBLF-COL-S04J04T06,itstools,554,2998,20754,48,127,0,50,844,813,1040,01,OK
PolyORBLF-COL-S04J04T08,itstools,712,4012,27744,114,155,0,54,1154,948,1050,01,OK
PolyORBLF-COL-S04J04T10,itstools,870,5034,34774,162,150,0,58,1472,955,1054,01,OK
PolyORBLF-COL-S04J06T06,itstools,618,3190,21570,53,125,0,54,976,791,1037,01,OK
PolyORBLF-COL-S04J06T08,itstools,792,4268,28832,77,241,0,58,1334,1020,1063,01,OK
PolyORBLF-COL-S04J06T10,itstools,966,5354,36134,106,166,0,62,1700,969,1057,01,OK
PolyORBLF-COL-S06J04T04,itstools,454,6994,59152,66,133,0,50,1186,903,1051,01,OK
PolyORBLF-COL-S06J04T06,itstools,632,10500,88770,166,180,0,54,1816,1116,1072,01,OK
PolyORBLF-COL-S06J04T08,itstools,810,14014,118428,157,274,0,58,2454,1214,1080,01,OK
PolyORBLF-COL-S06J06T04,itstools,506,7154,59824,68,144,0,54,1298,846,1045,01,OK
PolyORBLF-COL-S06J06T06,itstools,700,10740,89778,114,272,0,58,1992,1144,1070,01,OK
PolyORBLF-COL-S06J06T08,itstools,894,14334,119772,188,278,0,62,2694,1307,1089,01,OK
PolyORBLF-PT-S02J04T06,itstools,476,920,4242,49,62,0,46,382,368,99,00,OK
PolyORBLF-PT-S02J04T08,itstools,614,1242,5732,40,54,0,50,534,318,92,00,OK
PolyORBLF-PT-S02J04T10,itstools,752,1572,7262,52,67,0,54,694,386,1000,01,OK
PolyORBLF-PT-S02J06T06,itstools,536,1064,4866,36,44,0,50,470,298,86,00,OK
PolyORBLF-PT-S02J06T08,itstools,690,1434,6564,52,101,0,54,654,382,96,00,OK
PolyORBLF-PT-S02J06T10,itstools,844,1812,8302,78,96,0,58,846,443,1003,01,OK
PolyORBLF-PT-S04J04T06,itstools,554,2998,20754,101,152,0,50,844,653,1025,01,OK
PolyORBLF-PT-S04J04T08,itstools,712,4012,27744,108,184,0,54,1154,705,1034,01,OK
PolyORBLF-PT-S04J04T10,itstools,870,5034,34774,147,197,0,58,1472,898,1048,01,OK
PolyORBLF-PT-S04J06T06,itstools,618,3190,21570,104,118,0,54,976,596,1015,01,OK
PolyORBLF-PT-S04J06T08,itstools,792,4268,28832,151,162,0,58,1334,795,1038,01,OK
PolyORBLF-PT-S04J06T10,itstools,966,5354,36134,201,241,0,62,1700,919,1049,01,OK
PolyORBLF-PT-S06J04T04,itstools,454,6994,59152,86,147,0,50,1186,786,1037,01,OK
PolyORBLF-PT-S06J04T06,itstools,632,10500,88770,167,294,0,54,1816,1150,1074,01,OK
PolyORBLF-PT-S06J04T08,itstools,810,14014,118428,204,316,0,58,2454,1350,1096,01,OK
PolyORBLF-PT-S06J06T04,itstools,506,7154,59824,111,172,0,54,1298,868,1050,01,OK
PolyORBLF-PT-S06J06T06,itstools,700,10740,89778,184,239,0,58,1992,1159,1074,01,OK
PolyORBLF-PT-S06J06T08,itstools,894,14334,119772,180,466,0,62,2694,1544,2015,02,OK
PolyORBNT-COL-S05J20,itstools,369,1230,8864,22,11,20,62,264,542,1013,01,OK
PolyORBNT-COL-S05J30,itstools,519,1430,9824,31,23,30,82,334,570,1014,01,OK
PolyORBNT-COL-S05J40,itstools,669,1630,10784,49,35,40,102,404,555,1015,01,OK
PolyORBNT-COL-S05J60,itstools,969,2030,12704,97,25,60,142,544,680,1029,01,OK
PolyORBNT-COL-S05J80,itstools,1269,2430,14624,118,24,80,182,684,687,1028,01,OK
PolyORBNT-COL-S10J20,itstools,494,11780,111159,92,53,20,72,1239,873,1047,01,OK
PolyORBNT-COL-S10J30,itstools,694,12080,112619,138,55,30,92,1359,918,1054,01,OK
PolyORBNT-COL-S10J40,itstools,894,12380,114079,145,82,40,112,1479,986,1064,01,OK
PolyORBNT-COL-S10J60,itstools,1294,12980,116999,221,55,60,152,1719,1030,1068,01,OK
PolyORBNT-COL-S10J80,itstools,1694,13580,119919,235,51,80,192,1959,1084,1067,01,OK
PolyORBNT-PT-S05J20,itstools,349,1210,8824,23,23,0,62,264,319,93,00,OK
PolyORBNT-PT-S05J30,itstools,489,1400,9764,53,23,0,82,334,365,1001,01,OK
PolyORBNT-PT-S05J40,itstools,629,1590,10704,70,23,0,102,404,381,97,00,OK
PolyORBNT-PT-S05J60,itstools,909,1970,12584,126,46,0,142,544,463,1008,01,OK
PolyORBNT-PT-S05J80,itstools,1189,2350,14464,163,57,0,182,684,630,1027,01,OK
PolyORBNT-PT-S10J20,itstools,474,11760,111119,55,55,0,72,1239,826,1045,01,OK
PolyORBNT-PT-S10J30,itstools,664,12050,112559,77,81,0,92,1359,849,1049,01,OK
PolyORBNT-PT-S10J40,itstools,854,12340,113999,144,89,0,112,1479,988,1061,01,OK
PolyORBNT-PT-S10J60,itstools,1234,12920,116879,181,79,0,152,1719,1018,1061,01,OK
PolyORBNT-PT-S10J80,itstools,1614,13500,119759,287,92,0,192,1959,1193,1081,01,OK
ProductionCell-PT-none,itstools,176,134,513,9,8,0,50,8,160,75,00,OK
QuasiCertifProtocol-COL-02,itstools,86,56,223,7,5,0,31,1,410,1001,01,OK
QuasiCertifProtocol-COL-06,itstools,270,116,659,11,8,0,155,1,456,1005,01,OK
QuasiCertifProtocol-COL-10,itstools,550,176,1287,25,7,0,375,1,481,1008,01,OK
QuasiCertifProtocol-COL-18,itstools,1398,296,3119,55,11,0,1103,1,615,1021,01,OK
QuasiCertifProtocol-COL-22,itstools,1966,356,4323,60,16,0,1611,1,536,1012,01,OK
QuasiCertifProtocol-COL-28,itstools,2998,446,6489,94,17,0,2553,1,662,1026,01,OK
QuasiCertifProtocol-COL-32,itstools,3806,506,8173,115,29,0,3301,1,695,1030,01,OK
QuasiCertifProtocol-PT-02,itstools,86,56,223,7,6,0,31,1,139,75,00,OK
QuasiCertifProtocol-PT-06,itstools,270,116,659,12,8,0,155,1,184,78,00,OK
QuasiCertifProtocol-PT-10,itstools,550,176,1287,16,11,0,375,1,191,79,00,OK
QuasiCertifProtocol-PT-18,itstools,1398,296,3119,53,19,0,1103,1,292,90,00,OK
QuasiCertifProtocol-PT-22,itstools,1966,356,4323,61,14,0,1611,1,312,92,00,OK
QuasiCertifProtocol-PT-28,itstools,2998,446,6489,111,26,0,2553,1,419,1005,01,OK
QuasiCertifProtocol-PT-32,itstools,3806,506,8173,165,26,0,3301,1,478,1008,01,OK
Raft-PT-02,itstools,28,52,159,5,4,0,4,12,124,71,00,OK
Raft-PT-03,itstools,53,98,328,6,6,0,9,29,130,70,00,OK
Raft-PT-04,itstools,88,160,563,7,8,0,16,54,156,74,00,OK
Raft-PT-05,itstools,133,238,864,8,7,0,25,87,167,78,00,OK
Raft-PT-06,itstools,188,332,1231,9,7,0,36,128,165,76,00,OK
Raft-PT-07,itstools,253,442,1664,9,7,0,49,177,188,83,00,OK
Raft-PT-08,itstools,328,568,2163,13,10,0,64,234,185,77,00,OK
Raft-PT-09,itstools,413,710,2728,16,9,0,81,299,215,79,00,OK
Raft-PT-10,itstools,508,868,3359,16,9,0,100,372,228,82,00,OK
Railroad-PT-005,itstools,68,56,313,7,6,16,26,25,132,73,00,OK
Railroad-PT-010,itstools,118,156,898,10,8,31,41,100,176,79,00,OK
Railroad-PT-020,itstools,218,506,2968,15,8,61,0,400,204,79,00,OK
Railroad-PT-050,itstools,518,2756,16378,24,37,151,0,2500,449,1010,01,OK
Railroad-PT-100,itstools,1018,10506,62728,67,67,301,0,10000,760,1035,01,OK
Referendum-COL-0010,itstools,4,3,6,4,4,0,1,0,348,1000,01,OK
Referendum-COL-0015,itstools,4,3,6,4,4,0,1,0,357,99,00,OK
Referendum-COL-0020,itstools,4,3,6,4,4,0,1,0,344,97,00,OK
Referendum-COL-0050,itstools,4,3,6,4,3,0,1,0,341,93,00,OK
Referendum-COL-0100,itstools,4,3,6,4,3,0,1,0,346,94,00,OK
Referendum-COL-0200,itstools,4,3,6,4,4,0,1,0,372,99,00,OK
Referendum-COL-0500,itstools,4,3,6,5,4,0,1,0,398,97,00,OK
Referendum-COL-1000,itstools,4,3,6,4,4,0,1,0,416,1001,01,OK
Referendum-PT-0010,itstools,31,21,51,6,5,0,10,0,119,74,00,OK
Referendum-PT-0015,itstools,46,31,76,5,4,0,15,0,124,74,00,OK
Referendum-PT-0020,itstools,61,41,101,6,4,0,20,0,125,73,00,OK
Referendum-PT-0050,itstools,151,101,251,6,6,0,50,0,147,76,00,OK
Referendum-PT-0100,itstools,301,201,501,9,6,0,100,0,165,76,00,OK
Referendum-PT-0200,itstools,601,401,1001,12,6,0,200,0,175,75,00,OK
Referendum-PT-0500,itstools,1501,1001,2501,15,14,0,500,0,297,86,00,OK
Referendum-PT-1000,itstools,3001,2001,5001,21,35,0,1000,0,313,89,00,OK
RefineWMG-PT-002002,itstools,14,11,32,4,5,0,6,3,109,68,00,OK
RefineWMG-PT-002003,itstools,14,11,32,5,5,0,6,3,112,69,00,OK
RefineWMG-PT-005005,itstools,29,23,68,5,4,0,12,6,115,68,00,OK
RefineWMG-PT-005006,itstools,29,23,68,5,6,0,12,6,119,69,00,OK
RefineWMG-PT-007007,itstools,39,31,92,5,5,0,16,8,118,68,00,OK
RefineWMG-PT-007008,itstools,39,31,92,5,6,0,16,8,114,68,00,OK
RefineWMG-PT-010010,itstools,54,43,128,5,6,0,22,11,131,70,00,OK
RefineWMG-PT-010011,itstools,54,43,128,5,5,0,22,11,118,69,00,OK
RefineWMG-PT-015015,itstools,79,63,188,7,6,0,32,16,138,73,00,OK
RefineWMG-PT-015016,itstools,79,63,188,5,6,0,32,16,141,70,00,OK
RefineWMG-PT-025025,itstools,129,103,308,7,6,0,52,26,134,67,00,OK
RefineWMG-PT-025026,itstools,129,103,308,6,6,0,52,26,139,70,00,OK
RefineWMG-PT-050050,itstools,254,203,608,7,6,0,102,51,287,87,00,OK
RefineWMG-PT-050051,itstools,254,203,608,7,6,0,102,51,148,89,00,OK
RefineWMG-PT-100100,itstools,504,403,1208,13,10,0,202,101,349,90,00,OK
RefineWMG-PT-100101,itstools,504,403,1208,9,7,0,202,101,182,79,00,OK
RERS17pb113-PT-1,itstools,639,31353,125418,83,264,0,25,17712,1470,2009,02,OK
RERS17pb113-PT-2,itstools,639,31353,125418,121,289,0,25,17712,1544,2017,02,OK
RERS17pb113-PT-3,itstools,639,31353,125418,82,323,0,25,17712,1382,2002,02,OK
RERS17pb113-PT-4,itstools,639,31353,125418,77,231,0,25,17712,1204,1092,01,OK
RERS17pb113-PT-5,itstools,639,31353,125418,85,305,0,25,17712,1364,2000,02,OK
RERS17pb113-PT-6,itstools,639,31353,125418,86,253,0,25,17712,1351,2001,02,OK
RERS17pb113-PT-7,itstools,639,31353,125418,91,273,0,25,17712,2875,3052,03,OK
RERS17pb113-PT-8,itstools,639,31353,125418,85,296,0,25,17712,1331,1091,01,OK
RERS17pb113-PT-9,itstools,639,31353,125418,120,278,0,25,17712,1424,1099,01,OK
RERS17pb114-PT-1,itstools,1446,151085,604252,368,2025,0,35,83280,5475,6004,06,OK
RERS17pb114-PT-2,itstools,1446,151085,604252,345,1888,0,35,83280,5543,6014,06,OK
RERS17pb114-PT-3,itstools,1446,151085,604252,371,1957,0,35,83280,5891,6050,06,OK
RERS17pb114-PT-4,itstools,1446,151085,604252,372,2064,0,35,83280,5873,6050,06,OK
RERS17pb114-PT-5,itstools,1446,151085,604252,352,1888,0,35,83280,5790,6045,06,OK
RERS17pb114-PT-6,itstools,1446,151085,604252,364,2103,0,35,83280,7063,7097,07,OK
RERS17pb114-PT-7,itstools,1446,151085,604252,388,2294,0,35,83280,5733,6041,06,OK
RERS17pb114-PT-8,itstools,1446,151085,604252,347,2214,0,35,83280,5650,6027,06,OK
RERS17pb114-PT-9,itstools,1446,151085,604252,377,2323,0,35,83280,5915,6058,06,OK
RERS17pb115-PT-1,itstools,1399,144369,577414,357,2230,0,37,79876,5604,6027,06,OK
RERS17pb115-PT-2,itstools,1399,144369,577414,322,1808,0,37,79876,5056,5069,05,OK
RERS17pb115-PT-3,itstools,1399,144369,577414,295,1997,0,37,79876,5129,5074,05,OK
RERS17pb115-PT-4,itstools,1399,144369,577414,294,2159,0,37,79876,5344,5099,05,OK
RERS17pb115-PT-5,itstools,1399,144369,577414,289,2006,0,37,79876,5143,5077,05,OK
RERS17pb115-PT-6,itstools,1399,144369,577414,328,1884,0,37,79876,5262,5087,05,OK
RERS17pb115-PT-7,itstools,1399,144369,577414,327,1777,0,37,79876,5037,5066,05,OK
RERS17pb115-PT-8,itstools,1399,144369,577414,323,2065,0,37,79876,5341,5099,05,OK
RERS17pb115-PT-9,itstools,1399,144369,577414,290,1932,0,37,79876,5132,5075,05,OK
RERS2020-PT-pb101,itstools,906,149363,595952,502,2670,0,9,112466,6535,7016,07,OK
RERS2020-PT-pb102,itstools,1276,125387,499222,372,2847,0,13,93156,6169,6084,06,OK
RERS2020-PT-pb103,itstools,520,31658,125892,126,254,0,15,18169,1415,2000,02,OK
RERS2020-PT-pb104,itstools,1353,143642,572292,378,2637,0,17,95422,6337,7002,07,OK
RERS2020-PT-pb105,itstools,1982,153412,610156,491,4305,0,21,103367,8157,8077,08,OK
RERS2020-PT-pb106,itstools,2041,125740,498326,451,3555,0,23,92807,6966,7058,07,OK
RERS2020-PT-pb107,itstools,1382,104643,417030,299,1384,0,25,61513,4448,5010,05,OK
RERS2020-PT-pb108,itstools,2339,132214,523950,388,3740,0,29,88533,7304,7098,07,OK
RERS2020-PT-pb109,itstools,1907,151872,605350,487,4034,0,31,98843,8107,8075,08,OK
ResAllocation-PT-R002C002,itstools,8,6,20,5,5,0,4,2,114,73,00,OK
ResAllocation-PT-R003C002,itstools,12,8,30,4,4,0,6,2,122,72,00,OK
ResAllocation-PT-R003C003,itstools,18,12,48,5,4,0,9,3,123,72,00,OK
ResAllocation-PT-R003C005,itstools,30,20,84,4,5,0,15,5,134,76,00,OK
